id,saker_id,emne_id
87297,2601,81
87298,2601,187
87299,2601,191
87227,2602,42
87228,2602,138
87229,2602,185
87230,2602,187
87485,2603,11
87486,2603,13
87487,2603,20
87488,2603,113
87489,2603,187
87427,2607,11
87428,2607,17
87429,2607,49
87430,2607,61
87231,2609,10
87232,2609,185
87233,2609,186
87234,2609,187
87235,2610,185
87236,2610,187
87462,2611,61
87463,2611,63
87464,2612,8
87465,2612,143
87466,2612,146
87829,2614,2
87830,2614,47
87831,2614,107
87832,2614,109
87833,2614,189
87834,2615,2
87835,2615,106
87836,2615,107
87837,2615,109
87838,2615,189
87482,2617,4
87483,2617,71
87484,2617,113
87399,2628,2
87400,2628,106
87243,2632,59
87244,2633,59
87245,2633,60
87246,2634,59
87247,2634,193
87559,2635,59
87242,2636,59
87393,2637,2
87394,2637,28
87395,2637,109
87396,2637,151
87397,2639,28
87398,2639,151
87519,2640,10
87520,2640,11
87521,2640,13
87522,2640,23
87523,2640,139
87524,2640,143
87525,2640,146
87526,2640,211
87391,2652,32
87392,2652,35
87597,2653,32
87598,2653,36
87467,2654,31
87468,2654,32
87469,2654,33
87470,2654,158
87471,2654,183
87472,2654,212
87473,2655,31
87474,2655,32
87475,2655,183
87527,2660,32
87528,2660,159
87529,2660,212
87379,2661,31
87380,2661,32
87381,2661,34
87248,2663,134
87249,2663,135
87250,2663,184
87747,2668,39
87748,2668,184
87382,2669,38
87383,2669,136
87384,2669,184
87315,2671,6
87316,2671,68
87317,2672,6
87251,2675,46
87252,2675,132
87279,2678,4
87280,2678,21
87281,2678,22
87282,2678,139
87283,2678,163
87824,2680,113
87385,2683,32
87386,2683,113
87387,2683,114
87388,2683,159
87389,2683,184
87390,2683,220
88145,2684,52
88146,2684,184
87623,2687,10
87624,2687,61
87625,2687,66
87626,2687,186
87825,2689,10
87826,2689,97
87827,2689,113
87828,2689,211
87867,2690,2
87868,2690,179
87869,2690,187
87870,2690,192
87653,2691,50
87654,2691,87
87655,2691,187
87656,2691,192
87700,2692,4
87701,2692,71
87738,2693,88
87739,2693,187
87665,2695,11
87666,2695,12
87667,2695,14
87668,2695,40
87669,2695,43
87434,2696,40
87435,2696,42
88090,2698,8
88091,2698,23
88092,2698,92
88093,2698,139
87627,2713,18
87628,2713,184
87377,2714,32
87378,2714,159
87583,2715,61
87584,2715,66
88089,2741,8
87993,2760,54
87994,2760,187
88087,2775,18
88088,2775,184
87670,2776,11
87671,2776,14
87672,2776,61
87673,2776,64
87550,2789,45
87551,2789,57
87552,2789,113
87553,2789,187
87754,2790,10
87755,2790,186
87576,2791,61
87577,2791,63
87578,2791,64
87579,2804,11
87580,2804,14
87581,2804,46
87582,2804,129
87695,2843,25
87696,2843,151
87657,2844,81
87658,2844,184
87659,2844,187
87938,2845,2
87939,2845,109
87940,2845,112
87941,2845,113
87942,2845,187
87943,2845,191
87751,2850,61
87752,2850,66
87753,2850,188
87970,2852,1
87971,2852,105
88047,2853,163
88048,2853,168
86861,2855,25
86862,2855,151
87740,2865,37
87741,2865,52
87742,2865,184
87629,2866,59
87630,2866,60
88039,2867,88
88040,2867,187
87651,2870,83
87652,2870,187
88041,2874,2
88042,2874,21
88043,2874,52
88044,2874,106
88045,2874,139
88046,2874,184
87706,2879,4
87554,2883,32
87555,2883,183
87697,2889,151
87698,2889,153
87699,2889,155
87839,2892,8
87840,2892,23
87841,2892,92
87842,2892,139
87822,2907,163
87823,2907,170
87749,2924,2
87750,2924,107
87944,2940,5
87945,2940,18
87946,2940,94
87947,2940,184
87948,2940,205
87949,2941,5
87950,2941,7
87951,2941,94
87952,2942,5
87953,2942,7
87954,2942,49
87955,2942,61
87956,2942,94
87957,2942,205
87958,2943,5
87959,2943,7
87960,2943,44
87961,2943,94
87962,2943,155
87963,2944,5
87964,2944,7
87965,2944,94
87990,2954,4
87991,2954,74
87992,2954,190
87588,2958,29
87589,2958,53
87590,2958,58
87591,2958,151
87592,2958,187
87593,2959,29
87594,2959,61
87595,2959,63
87596,2959,151
87743,2961,32
87744,2961,35
87556,2962,32
87557,2962,45
87558,2962,159
87585,2963,32
87586,2963,36
87587,2963,158
87864,2965,37
87865,2965,52
87866,2965,184
87648,14207,87
87649,14207,187
87650,14207,192
87574,14216,155
87575,14216,157
87561,14217,18
87562,14217,184
87530,14220,10
87531,14220,97
87532,14220,113
87533,14220,163
87534,14220,173
87535,14220,211
87410,14256,2
87411,14256,189
87511,14261,2
87512,14261,47
87513,14261,107
87876,14277,2
87877,14277,179
87878,14278,2
87879,14278,179
87635,14279,59
87677,14280,11
87678,14280,198
87412,14281,2
87413,14281,4
87414,14281,109
87415,14281,190
87493,14307,11
87494,14307,17
87495,14307,59
87496,14307,141
87497,14307,151
87498,14307,203
87447,14319,10
87448,14319,31
87449,14319,32
87450,14319,211
87789,14329,44
87790,14329,155
87567,14331,2
87568,14331,10
87569,14331,49
87570,14331,61
87571,14331,63
87572,14331,106
87573,14331,186
87817,14335,10
87818,14335,186
87819,14336,10
87820,14336,32
87821,14336,186
87871,14338,4
87872,14338,52
87873,14338,71
87874,14338,113
87875,14338,184
87791,14387,29
87792,14387,51
87793,14387,151
87794,14387,155
87756,14409,143
87757,14409,163
87758,14409,173
87599,14410,98
87600,14410,113
87601,14410,163
87602,14410,173
87421,14411,11
87422,14411,17
87423,14411,61
87424,14411,163
87425,14411,173
87426,14411,188
87514,14412,50
87515,14412,131
87516,14412,139
87517,14412,187
87518,14412,192
87679,14413,21
87680,14413,139
87681,14413,143
87682,14413,163
87683,14413,200
87861,14415,4
87862,14415,37
87863,14415,184
87684,14416,25
87685,14416,151
87795,14423,31
87796,14423,32
87797,14423,45
87451,14427,29
87452,14427,31
87453,14427,32
87454,14427,151
87259,14435,2
87260,14435,3
87261,14435,51
87262,14435,107
87263,14435,109
87264,14435,111
87265,14435,155
87266,14435,189
87408,14436,2
