id,saker_id,"personer_id"
15889,3017,"GGF"
15827,3018,"GRF"
15865,3019,"ES"
15866,3020,"LLU"
15879,3021,"KSP"
15859,3022,"ACS"
15833,3023,"SEB"
15834,3024,"OHE"
15825,3025,"ARL"
15803,3026,"GS"
15867,3027,"ARL"
15853,3028,"BR"
15818,3029,"JJJ"
15802,3030,"HJR"
15839,3031,"RBJ"
15851,3032,"AHI"
15811,3033,"RF"
15860,3034,"AST"
15878,3035,"EAM"
15797,3036,"OTK"
15798,3037,"JL"
15880,3038,"SM"
15807,3039,"MTI"
15816,3040,"REK"
15793,3041,"ESF"
15828,3042,"SOH"
15832,3043,"LGL"
15881,3044,"GF"
15817,3045,"GKG"
15882,3046,"ORE"
15808,3047,"PC"
15794,3048,"GKG"
15883,3049,"OTK"
15884,3050,"UAA"
15804,3051,"BEH"
15850,3052,"AUB"
15840,3053,"JP"
15864,3054,"HÅWO"
15791,3055,"ODG"
15841,3056,"JP"
15795,3057,"SKB"
15890,3058,"BKH"
15891,3059,"EGR"
15854,3060,"ACS"
15829,3061,"RTK"
15799,3062,"OKD"
15863,3064,"VSH"
15810,3065,"RF"
15843,3066,"OA"
15862,3067,"AD"
15830,3068,"KL"
15800,3069,"OTK"
15842,3070,"EGS"
15831,3071,"LLU"
15870,3072,"RTK"
15871,3073,"REK"
15861,3074,"POL"
16512,3075,"PT"
15849,3076,"RNW"
15868,3077,"RUI"
15801,3078,"ANT"
15869,3079,"KDL"
15820,3080,"HBE"
15848,3081,"JOA"
15845,3082,"ES"
15805,3083,"AHU"
15838,3084,"IK"
15813,3085,"RUI"
15886,3086,"GHA"
15877,3087,"EAM"
15812,3088,"MAA"
15885,3089,"SM"
15858,3090,"BHG"
15872,3091,"TTH"
15857,3092,"AST"
15809,3093,"PC"
15821,3094,"RB"
15844,3095,"TNY"
15836,3096,"MSO"
15856,3097,"BHG"
15822,3098,"JS"
15873,3099,"HBE"
15887,3100,"OR"
15819,3101,"ED"
15792,3102,"ESF"
15846,3103,"RS"
15837,3104,"AG"
15790,3105,"TON"
15815,3106,"TRJ"
15823,3107,"KL"
15796,3108,"ILH"
15855,3109,"RJ"
15835,3110,"DW"
15888,3111,"GGF"
15874,3112,"JS"
15847,3113,"GRF"
15876,3114,"EAM"
15875,3115,"JR"
15824,3116,"LIH"
15814,3117,"ML"
16500,3120,"BJO"
16510,3121,"DGH"
16470,3123,"DJF"
16278,3124,"RFH"
16419,3125,"ROG"
16513,3126,"KKG"
16504,3127,"RS"
16439,3128,"LIH"
16509,3129,"AUB"
16507,3130,"SFS"
16420,3131,"ROG"
16421,3132,"OTL"
16438,3135,"TNY"
16508,3136,"KAHE"
16449,3139,"EIS"
16442,3140,"EOS"
16412,3141,"ANT"
16487,3142,"VB"
16429,3143,"DJF"
16468,3144,"JR"
16469,3145,"KE"
16488,3146,"JD"
16511,3147,"KSP"
16405,3149,"RTV"
16430,3150,"DJF"
16458,3152,"ULG"
16466,3153,"KNA"
16467,3154,"SHS"
16433,3155,"KL"
16425,3156,"SHS"
16387,3157,"KL"
16399,3158,"LGL"
16489,3159,"HE"
16503,3160,"EAM"
16447,3161,"KSP"
16448,3162,"KSP"
16384,3164,"KHA"
16274,3165,"ES"
16275,3166,"POL"
16385,3167,"BJO"
16386,3169,"TON"
16276,3171,"GRF"
16241,3172,"BJO"
16360,3174,"MTI"
16432,3175,"PAN"
16277,3176,"MJB"
16359,3177,"OE"
16240,3178,"BHG"
16423,3179,"AST"
16378,3181,"AAS"
16465,3182,"AD"
16417,3183,"ARL"
16418,3184,"RTK"
16499,3185,"SHS"
16459,3187,"SHS"
16413,3188,"HBE"
16434,3189,"SEB"
16472,3190,"UAA"
16473,3191,"ILH"
16424,3192,"KNA"
16471,3193,"OHE"
16345,3195,"ULG"
16398,3196,"LGL"
16254,3197,"WE"
16436,3198,"RJ"
16456,3200,"GF"
16323,3201,"TS"
16428,3202,"TWI"
16485,3203,"RNW"
16486,3204,"ASK"
16301,3205,"SIO"
16457,3206,"TRJ"
16483,3208,"HBL"
16321,3209,"MAA"
16484,3210,"KMB"
16322,3211,"MAA"
16506,3214,"RS"
16491,3215,"HJR"
16415,3217,"IGO"
16443,3218,"HSG"
16441,3219,"SEN"
16406,3220,"GR"
16498,3222,"KNA"
16501,3223,"ESO"
16502,3224,"KL"
16444,3225,"RTV"
16490,3226,"AAS"
16492,3227,"OAS"
16464,3228,"OTL"
16422,3229,"SEB"
16494,3230,"DW"
16455,3231,"RQH"
16493,3232,"ILH"
16482,3233,"SIO"
16452,3234,"RQH"
16453,3235,"KSP"
16505,3236,"POL"
16495,3237,"AMN"
16496,3238,"JH"
16478,3239,"RNW"
16346,3240,"ARL"
16414,3241,"BJH"
16291,3242,"ARN"
16451,3243,"RQH"
16477,3244,"JEG"
16454,3245,"DW"
16474,3246,"JEG"
16481,3247,"SIO"
16497,3248,"JH"
16475,3249,"PAN"
16476,3250,"ESF"
16479,3251,"GGF"
16480,3252,"ESF"
16376,3253,"SKB"
16377,3254,"SKB"
16461,3255,"PS"
16460,3256,"JMN"
16409,3259,"OKD"
16397,3260,"TNY"
16462,3262,"RUI"
16463,3263,"EVL"
16445,3264,"SM"
16446,3265,"JTS"
16364,3266,"DJF"
16437,3268,"TJ"
16348,3270,"JR"
16391,3271,"TRJ"
16450,3272,"JJJ"
16440,3273,"JMN"
16331,3274,"JOA"
16410,3277,"OAS"
16288,3278,"AUG"
16411,3279,"ES"
16435,3281,"JMN"
16357,3282,"GRF"
16390,3283,"TRJ"
16401,3284,"GBR"
16427,3285,"DJF"
16392,3286,"FFG"
16383,3287,"ES"
16388,3288,"ACS"
16379,3290,"AST"
16431,3291,"OAS"
16400,3292,"ODH"
16416,3293,"JMN"
16332,3295,"JOA"
16333,3296,"JOA"
16393,3297,"RHR"
16358,3298,"KL"
16253,3299,"KKD"
16287,3300,"VB"
16264,3301,"PS"
16265,3302,"JOH"
16266,3305,"GRF"
16249,3306,"KSP"
16263,3308,"GR"
16250,3309,"KSP"
16261,3312,"AUB"
16404,3314,"DJF"
16284,3315,"IGO"
16285,3316,"BJH"
16286,3317,"BHG"
16341,3318,"JR"
16375,3319,"MBL"
16330,3321,"TNY"
16380,3322,"LLU"
16372,3323,"MN"
16290,3324,"SFS"
16314,3325,"TN"
16373,3326,"OKD"
16347,3327,"AD"
16251,3328,"RTK"
16374,3329,"TRM"
16315,3330,"REK"
16316,3335,"LLU"
16317,3336,"SEN"
16252,3337,"JH"
16426,3338,"JD"
16338,3339,"ERF"
16339,3340,"PC"
16344,3341,"DW"
16340,3342,"ORE"
16402,3343,"GF"
16292,3345,"GF"
16309,3346,"LGL"
16310,3348,"RB"
16289,3349,"ASK"
16308,3354,"ANT"
16300,3356,"ODG"
16320,3358,"HBL"
16312,3359,"JP"
16362,3360,"KMB"
16363,3361,"BKH"
16313,3362,"ANT"
16318,3364,"HBA"
16361,3366,"HBL"
16299,3367,"AMN"
16273,3368,"BKH"
16324,3369,"MAA"
16262,3370,"RBJ"
16311,3371,"ANT"
16319,3372,"RBJ"
16302,3374,"ESO"
16389,3377,"MODA"
16395,3378,"JOH"
16407,3379,"TON"
16370,3380,"JTS"
16381,3381,"EVL"
16352,3382,"ASK"
16353,3383,"MIB"
16354,3385,"AD"
16394,3387,"RHR"
16351,3390,"ASK"
16403,3392,"ORE"
16297,3393,"GHA"
16408,3394,"HBL"
16396,3395,"KNA"
16369,3396,"MN"
16350,3398,"IK"
16279,3399,"GS"
16243,3400,"BJO"
16337,3401,"PS"
16382,3402,"LIH"
16307,3403,"OHE"
16336,3404,"GRF"
16349,3406,"JOF"
16367,3407,"PT"
16272,3408,"LS"
16298,3409,"AHI"
16368,3411,"KMB"
16355,3412,"PS"
16283,3414,"MIB"
16365,3415,"HBL"
16342,3416,"JS"
16295,3417,"SHL"
16335,3418,"PS"
16269,3419,"EIS"
16326,3420,"LIH"
16371,3422,"OAS"
16356,3424,"RKB"
16303,3426,"RTV"
16304,3427,"CIH"
16343,3429,"ULG"
16258,3430,"OTL"
16268,3431,"HE"
16296,3432,"RUI"
16325,3433,"ST"
16327,3435,"SFS"
16328,3436,"ORE"
16270,3440,"HBL"
16242,3444,"EAM"
16329,3445,"JR"
16293,3446,"RF"
16306,3449,"UAA"
16334,3453,"GGF"
16256,3454,"FFG"
16271,3458,"GR"
16280,3464,"JIA"
16281,3468,"RUI"
16282,3469,"JMN"
16366,3470,"HBL"
16245,3479,"EAM"
16246,3480,"EAM"
16294,3481,"GF"
16257,3482,"LGL"
16259,3483,"TWI"
16260,3484,"OR"
16305,3485,"MTI"
16247,3489,"JOF"
16248,3490,"EAM"
16267,3494,"KKF"
16255,3495,"TRJ"
16244,3499,"KSP"
16053,3531,"CIH"
16127,3533,"RBJ"
16125,3534,"SB"
16129,3536,"KSP"
16025,3537,"AG"
16016,3538,"ACS"
16064,3539,"TNY"
15959,3541,"GRF"
16003,3542,"KNA"
16017,3544,"POL"
14725,3548,"RTV"
14726,3549,"DJF"
14727,3555,"JPS"
16008,3556,"SFS"
15520,3557,"LIH"
15491,3558,"JOF"
15505,3559,"JS"
15466,3560,"ESO"
15517,3561,"SHS"
15507,3562,"RS"
15508,3563,"SB"
15448,3564,"HBE"
15490,3565,"OA"
15522,3566,"TON"
15459,3567,"EOS"
15521,3568,"OHE"
15510,3569,"KSP"
15498,3570,"HSG"
15478,3571,"AUB"
15481,3572,"AMN"
15469,3573,"VSH"
15463,3574,"KKF"
15477,3575,"IK"
15986,3576,"TNY"
15462,3577,"JL"
15987,3579,"AHI"
15502,3580,"KMB"
15503,3581,"JP"
15485,3582,"JJJ"
15504,3584,"JS"
15454,3585,"JR"
15523,3586,"MMK"
15492,3587,"JOF"
15506,3588,"TNY"
15960,3589,"KMB"
15525,3590,"MMK"
15460,3591,"SM"
15515,3592,"ROG"
15456,3593,"ARL"
